City,Company,Title,Job_Type,State,Seniority_Level,Employment_Type,Job_Function,Industries,Skills,latitude,longitude
Adelaide,SONITEC,Data Analyst,Data Analyst,South Australia,Mid-Senior level,Full-time,"Consulting, Engineering, and Information Technology",IT Services and IT Consulting,"azure, excel, sql, tableau",-34.9289,138.6011
Adelaide,Capgemini,Data Analyst,Data Analyst,South Australia,Associate,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,"html, javascript, python, r, snowflake, sql",-34.9289,138.6011
Adelaide,SustainAbility Consulting,Data Analyst,Data Analyst,South Australia,Not Applicable,Full-time,Information Technology,IT Services and IT Consulting and Telecommunications,"excel, sql",-34.9289,138.6011
Adelaide,Capgemini,Data Engineer,Data Engineer,South Australia,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,"aws, azure, c, java, python, scala, spark, sql",-34.9289,138.6011
Adelaide,Hire Digital,"Data Scientist (remote, freelance)",Data Scientist,South Australia,Mid-Senior level,Part-time,Engineering and Information Technology,Advertising Services,"excel, powerbi, python, r, sql, tableau",-34.9289,138.6011
Adelaide,Mantel Group,Data Engineer (AWS / GCP / Azure / Databricks),Data Engineer,South Australia,Mid-Senior level,Full-time,Information Technology and Consulting,IT Services and IT Consulting and Business Consulting and Services,"aws, azure",-34.9289,138.6011
Adelaide,SA Health,"Data Scientist, OCMIO",Data Scientist,South Australia,Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,,-34.9289,138.6011
Adelaide,Agile Analytics,Lead Data Engineer,Data Engineer,South Australia,Associate,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure, c, java, spark, sql",-34.9289,138.6011
Adelaide,PwC Australia,Cloud Data Engineer - Associate,Data Engineer,South Australia,Associate,Full-time,Information Technology,Business Consulting and Services,,-34.9289,138.6011
Adelaide,CoreLogic Australia,Data Engineer,Data Engineer,South Australia,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Real Estate,python,-34.9289,138.6011
Adelaide,Talent,Data Engineer,Data Engineer,South Australia,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"snowflake, sql",-34.9289,138.6011
Adelaide,Randstad Australia,Cloud Data Engineer,Data Engineer,South Australia,Not Applicable,Contract,Information Technology,IT Services and IT Consulting,"azure, powerbi, python, snowflake, sql",-34.9289,138.6011
Adelaide,EY,Senior Data Scientist | Data & Analytics,Data Scientist,South Australia,Mid-Senior level,Full-time,Engineering and Information Technology,Accounting,"aws, go, python, r, scala, sql",-34.9289,138.6011
Adelaide,eliiza,Senior Data Engineer,Data Engineer,South Australia,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure, java, python, scala, snowflake, spark",-34.9289,138.6011
Adelaide,THE ICONIC,Senior Data Engineer (Remote Working Opportunity),Data Engineer,South Australia,Associate,Full-time,Information Technology,Retail,"aws, python, r, sql",-34.9289,138.6011
Adelaide,Capgemini,Test Data Engineer,Data Engineer,South Australia,Associate,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,"python, sql",-34.9289,138.6011
Adelaide,Agile Analytics,Data Engineer,Data Engineer,South Australia,Associate,Full-time,Information Technology,IT Services and IT Consulting,"aws, azure, c, java, spark, sql",-34.9289,138.6011
Adelaide,KPMG Australia,Data Analyst - Adelaide,Data Analyst,South Australia,Not Applicable,Full-time,Information Technology,"Financial Services, Business Consulting and Services, and Accounting","azure, javascript, python, sql, tableau",-34.9289,138.6011
Adelaide,Macquarie Group,Data Engineer - Capital Transformation Program,Data Engineer,South Australia,Not Applicable,Contract,Information Technology,"Banking, Financial Services, and Investment Banking","aws, excel, spark, sql",-34.9289,138.6011
Adelaide,Galileo Search,Senior Data Analyst,Data Analyst,South Australia,Mid-Senior level,Full-time,Information Technology,Financial Services,"excel, python, sql",-34.9289,138.6011
Alice Springs,Central Australian Aboriginal Congress Aboriginal Corporation,"Senior Data Analyst Alice Springs, NT",Data Analyst,Northern Territory,Not Applicable,Contract,Information Technology,Hospitals and Health Care,,-23.7,133.8667
